born,district,icpsr,n_au,n_bills,n_co,na,nyears,party,sex,state,thomas,vertex.names,node_id
1973,8,21181,11,180,169,FALSE,4,REP,M,TN,02064,Stephen Lee Fincher,389
1947,2,20337,12,284,272,FALSE,12,REP,M,NM,01738,Stevan E. Pearce,390
1949,4,20325,22,239,217,FALSE,12,REP,M,IA,01724,Steve A. King,391
1949,9,20748,26,719,693,FALSE,8,DEM,M,TN,01878,Steve Cohen,392
1953,1,29550,26,329,303,FALSE,20,REP,M,OH,00186,Steve J. Chabot,393
1958,3,20129,25,411,386,FALSE,14,DEM,M,NY,01663,Steve J. Israel,394
1965,1,20759,4,63,59,FALSE,7,REP,M,LA,01892,Steve Joseph Scalise,395
1966,25,NA,9,181,172,FALSE,0,REP,M,CA,02228,Steve Knight,396
1963,5,NA,10,150,140,FALSE,0,REP,M,OK,02265,Steve Russell,397
1965,15,21163,16,349,333,FALSE,4,REP,M,OH,02047,Steve Stivers,398
1957,3,21108,8,147,139,FALSE,4,REP,M,AR,01991,Steve Womack,399
1970,4,21148,10,254,244,FALSE,4,REP,M,MS,02035,Steven M. Palazzo,400
1944,53,20108,17,283,266,FALSE,14,DEM,F,CA,01641,Susan A. Davis,401
1960,5,21331,13,252,239,FALSE,2,REP,F,IN,02129,Susan W. Brooks,402
1962,1,31101,17,381,364,FALSE,3,DEM,F,WA,02096,Suzan K. DelBene,403
1954,1,21198,8,319,311,FALSE,3,DEM,F,OR,02092,Suzanne Bonamici,404
1968,8,21325,21,354,333,FALSE,2,DEM,F,IL,02123,Tammy Duckworth,405
1969,33,NA,16,526,510,FALSE,0,DEM,M,CA,02230,Ted Lieu,406
1948,2,20528,38,326,288,FALSE,10,REP,M,TX,01802,Ted Poe,407
1955,3,21317,19,305,286,FALSE,2,REP,M,FL,02115,Ted S. Yoho,408
1965,7,21102,7,191,184,FALSE,4,DEM,F,AL,01988,Terri A. Sewell,409
1966,21,20959,21,378,357,FALSE,5,DEM,M,FL,01976,Theodore E. Deutch,410
1970,17,20910,11,216,205,FALSE,6,REP,M,FL,01916,Thomas J. Rooney,411
1971,4,31102,8,177,169,FALSE,3,REP,M,KY,02094,Thomas Massie,412
1968,1,21134,1,227,226,FALSE,4,REP,M,KS,02020,Tim Huelskamp,413
1973,13,20343,16,446,430,FALSE,12,DEM,M,OH,01756,Tim J. Ryan,414
1952,18,20346,8,198,190,FALSE,12,REP,M,PA,01744,Tim Murphy,415
1951,7,20725,18,259,241,FALSE,8,REP,M,MI,01855,Tim Walberg,416
1964,1,20726,6,323,317,FALSE,8,DEM,M,MN,01856,Timothy James Walz,417
1972,9,21133,18,178,160,FALSE,4,REP,M,IN,02019,Todd C. Young,418
1970,4,21131,10,275,265,FALSE,4,REP,M,IN,02017,Todd Rokita,419
1949,4,20344,5,271,266,FALSE,12,REP,M,OK,01742,Tom Cole,420
1961,6,NA,12,240,228,FALSE,0,REP,M,MN,02253,Tom Emmer,421
1970,14,20962,0,133,133,FALSE,5,REP,M,GA,01979,Tom Graves,422
1960,3,NA,12,214,202,FALSE,0,REP,M,NJ,02258,Tom MacArthur,423
1952,10,21170,11,244,233,FALSE,4,REP,M,PA,02053,Tom Marino,424
1956,4,20903,5,261,256,FALSE,6,REP,M,CA,01908,Tom McClintock,425
1954,6,20505,15,149,134,FALSE,10,REP,M,GA,01778,Tom Price,426
1957,7,21359,6,146,140,FALSE,2,REP,M,SC,02160,Tom Rice,427
1971,23,21101,30,258,228,FALSE,5,REP,M,NY,01982,Tom W. Reed II,428
1963,29,21309,23,457,434,FALSE,2,DEM,M,CA,02107,Tony Cárdenas,429
1957,8,20304,16,366,350,FALSE,12,REP,M,AZ,01707,Trent Franks,430
1966,1,NA,1,105,104,FALSE,0,REP,M,MS,02294,Trent Kelly,431
1964,4,21175,1,119,118,FALSE,4,REP,M,SC,02058,Trey Gowdy,432
1981,2,21324,13,256,243,FALSE,2,DEM,F,HI,02122,Tulsi Gabbard,433
1951,16,20709,16,158,142,FALSE,8,REP,M,FL,01840,Vern Buchanan,434
1960,4,21149,6,240,234,FALSE,4,REP,F,MO,02032,Vicky Hartzler,435
1943,5,20521,8,76,68,FALSE,10,REP,F,NC,01791,Virginia Foxx,436
1943,3,29546,15,536,521,FALSE,20,REP,M,NC,00612,Walter B. Jones Jr.,437
1970,8,NA,0,1,1,FALSE,0,REP,M,OH,02296,Warren Davidson,438
1977,23,NA,11,146,135,FALSE,0,REP,M,TX,02269,Will Hurd,439
1952,9,21140,9,402,393,FALSE,4,DEM,M,MA,02025,William R. Keating,440
1956,1,20147,7,244,237,FALSE,14,DEM,M,MO,01654,Wm. Lacy Clay Jr.,441
1958,34,29316,3,124,121,FALSE,22,DEM,M,CA,00070,Xavier Becerra,442
1964,9,20733,3,465,462,FALSE,8,DEM,F,NY,01864,Yvette D. Clarke,443
1947,19,29504,22,570,548,FALSE,20,DEM,F,CA,00701,Zoe Lofgren,444
